ID,Name,Lat,Lon,districtName
368,368 PORFIRIO DÍAZ-CINCINATTI ,19.379246,-99.179344,Extremadura Insurgentes
428,428 PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8),19.363418,-99.160353,General Pedro Maria Anaya
431,431 BRUNO TRAVEN-PAZ MONTES DE OCA,19.36145,-99.15822,General Pedro Maria Anaya
432,432 CARRILLO PUERTO-AV. MÉXICO-COYOACÁN,19.361296,-99.162581,General Pedro Maria Anaya
443,443 BRUNO TRAVEN-GOLONDRINAS,19.359655,-99.162025,General Pedro Maria Anaya
444,444 GENERAL MANUEL RINCÓN-AGUSTÍN GUTIERREZ,19.359384,-99.159425,General Pedro Maria Anaya
446,446 RIFF-AVENIDA RIO CHURUBUSCO,19.3586,-99.156101,General Pedro Maria Anaya
467,E467  LAGO MAYOR-LAGO ALBERTO,19.440399,-99.186784,Granada
476,476 LAGO COMO-LAGUNA DE MAYRÁN,19.442127,-99.184433,Granada
240,240 EJERCITO NACIONAL-F.C. DE CUERNAVACA ,19.43855,-99.2063,Granada
199,199 ANATOLE FRANCE-AV. EJERCITO NACIONAL,19.437934,-99.197241,Granada
244,244 MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA ,19.440885,-99.193315,Granada
245,245 LAGO ONEGA-AV. EJERCITO NACIONAL ,19.43819,-99.19048,Granada
242,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE ,19.440344,-99.20105,Granada
197,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,19.440077,-99.204316,Granada
72,72 MAZATLAN-ALFONSO REYES,19.409893,-99.179544,Hipodromo Condesa
73,73 CAMPECHE-TAMAULIPAS,19.410245,-99.175612,Hipodromo Condesa
177,177 BENJAMIN HILL-CARLOS ZETINA,19.408841,-99.181692,Hipodromo Condesa
178,178 TAMAULIPAS-FRANCISCO MURGUÍA,19.406833,-99.180457,Hipodromo Condesa
66,66 MAZATLAN-FRANCISCO MARQUEZ,19.411402,-99.178666,Hipodromo Condesa
75,75 ALFONSO REYES-ATLIXCO,19.408722,-99.17669,Hipodromo Condesa
76,76 CHILPANCINGO-CAMPECHE,19.408736,-99.169913,Hipodromo
77,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo
78,78 BENJAMIN HILL-TAMAULIPAS,19.407503,-99.177382,Hipodromo
79,79 SALTILLO-ALFONSO REYES,19.407534,-99.174427,Hipodromo
80,80 NUEVO LEON-AGUASCALIENTES,19.407307,-99.172118,Hipodromo
81,81 AGUASCALIENTES-INSURGENTES,19.408006,-99.168475,Hipodromo
83,83 NUEVO LEON-ALFONSO REYES,19.406296,-99.172117,Hipodromo
84,84 CHILPANCINGO-TLAXCALA,19.40702,-99.169587,Hipodromo
64,64 SONORA-AMSTERDAM,19.412877,-99.166986,Hipodromo
69,69 MICHOACAN-AMSTERDAM,19.410733,-99.168111,Hipodromo
70,70 PARQUE MEXICO-MICHOACAN,19.411272,-99.169718,Hipodromo
71,71 AMSTERDAM-MICHOACAN,19.411423,-99.171351,Hipodromo
61,61 AVENIDA MEXICO-SONORA,19.413742,-99.169525,Hipodromo
59,59 POPOCATEPETL-AMSTERDAM,19.415121,-99.166661,Hipodromo
179,179 NUEVO LEÓN-QUINTANA ROO,19.404452,-99.171438,Hipodromo
180,180 QUINTANA ROO-VILLA HERMOSA,19.404554,-99.169953,Hipodromo
181,181 BENJAMIN FRANKLIN-OMETUSCO,19.40472,-99.17448,Hipodromo
182,182 PROGRESO-ASTRONOMOS,19.402089,-99.17139,Hipodromo
74,74 NUEVO LEON-OZULAMA,19.410343,-99.172831,Hipodromo
384,384 EMPRESA-POUSSIN,19.375873,-99.185583,Insurgentes Mixcoac
385,385 POUSSIN-EMPRESA,19.375651,-99.18558,Insurgentes Mixcoac
386,386 POUSSIN-DONATELLO,19.37484,-99.185846,Insurgentes Mixcoac
388,388 VALENCIA-MALAGA,19.373038,-99.181355,Insurgentes Mixcoac
417,417 GOYA-AUGUSTO RODÍN,19.373262,-99.184333,Insurgentes Mixcoac
418,418 GALICIA-ACTIPAN,19.371152,-99.183034,Insurgentes Mixcoac
419,419 ACTIPAN-CADIZ,19.370606,-99.181502,Insurgentes Mixcoac
460,460 JUAN VÁZQUEZ DE MELLA-HOMERO,19.437014,-99.207932,Irrigacion
461,461 PRESA DON MARTÍN-BOULEVARD MIGUEL DE CERVANTES,19.440106,-99.210031,Irrigacion
462,462 PRESA FALCÓN-DANXHÓ,19.442338,-99.205198,Irrigacion
355,355 CALIFORNIA-SACRAMENTO,19.38205,-99.173291,Insurgentes San Borja
345,345 MIRAFLORES-PATRICIO SANZ,19.384498,-99.172223,Insurgentes San Borja
346,346 SAN FRANCISCO-SANTA MARGARITA,19.385019,-99.174077,Insurgentes San Borja
361,361 PORFIRIO DÍAZ-CAPULÍN,19.380709,-99.17508,Insurgentes San Borja
261,261 PASEO DE LA REFORMA - RÍO DE LA PLATA,19.42495,-99.17246,Juarez
21,21 REFORMA-DUBLIN,19.42472,-99.17206,Juarez
22,22 REFORMA-MANCHESTER,19.424375,-99.172575,Juarez
23,23 REFORMA-PRAGA,19.42517,-99.17105,Juarez
24,24 REFORMA-VARSOVIA,19.42647,-99.16822,Juarez
25,25 REFORMA-ESTOCOLMO,19.427317,-99.166662,Juarez
26,26 REFORMA-VERSALLES,19.432685,-99.154726,Juarez
27,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
28,28 TOLEDO-TOKIO,19.423542,-99.172494,Juarez
3,3 REFORMA-INSURGENTES,19.431655,-99.158668,Juarez
8,8 REFORMA-GENERAL PRIM,19.431141,-99.158317,Juarez
30,30 HAMBURGO-GENOVA,19.426442,-99.164323,Juarez
31,31 HAMBURGO-INSURGENTES,19.427838,-99.161193,Juarez
32,32 LONDRES-SEVILLA,19.422705,-99.169922,Juarez
33,E33 LONDRES-FLORENCIA,19.424234,-99.166431,Juarez
34,34 LIVERPOOL-GENOVA,19.424725,-99.163331,Juarez
35,35 LIVERPOOL-GENOVA,19.424674,-99.163292,Juarez
112,112 AV. MORELOS-ABRAHAM GONZALEZ,19.432819,-99.151734,Juarez
113,113 GENERAL PRIM-VERSALLES,19.430369,-99.154419,Juarez
114,114 LUCERNA-ABRAHAM GONZALEZ ,19.428989,-99.153618,Juarez
115,115 ROMA-DINAMARCA ,19.429947,-99.159698,Juarez
116,116 LONDRES-ROMA,19.428985,-99.15664,Juarez
117,117 LONDRES-NAPOLES ,19.427132,-99.160369,Juarez
118,118 LIVERPOOL-DINAMARCA,19.427114,-99.158251,Juarez
119,119 TURÍN-ABRAHAM GONZÁLEZ,19.42679,-99.15554,Juarez
120,120 MARSELLA-NAPOLES,19.425437,-99.159458,Juarez
121,121 NIZA-CHAPULTEPEC,19.424137,-99.161317,Juarez
457,E457 AV. PRADO NORTE-EXPLANADA,19.42703,-99.212845,Lomas de Chapultepec Seccion V
454,E454 MONTES URALES-MONTE PELVOUX,19.425905,-99.204236,Lomas de Chapultepec Seccion V
455,455 PEDREGAL-FERROCARRIL DE CUERNAVACA,19.426308,-99.203302,Lomas de Chapultepec Seccion V
456,456 ALPES-MONTES ESCANDINAVOS,19.427517,-99.208412,Lomas de Chapultepec Seccion III
458,458 MONTES URALES-VOLCÁN,19.428679,-99.206605,Lomas de Chapultepec Seccion III
459,E459 VOLCÁN-MONTES URALES,19.429243,-99.207267,Lomas de Chapultepec Seccion III
404,404 MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE,19.373813,-99.157387,Letran Valle
405,405 DIVISIÓN DEL NORTE-MUNICIPIO LIBRE,19.370619,-99.156626,Letran Valle
374,374 PITÁGORAS-PILARES,19.376964,-99.161116,Letran Valle
375,375 TENAYUCA-DIVISIÓN DEL NORTE,19.376865,-99.158818,Letran Valle
376,376 PITÁGORAS-AV. UNIVERSIDAD,19.375442,-99.161595,Letran Valle
453,453 PEDREGAL-TEAPA,19.424842,-99.203739,Molino del Rey
334,334 NUEVA YORK-AV. INSURGENTES,19.386568,-99.175089,Napoles
348,348 INDIANA-AVENIDA SAN ANTONIO,19.385365,-99.178216,Napoles
313,313 PENNSYLVANIA-OKLAHOMA,19.391431,-99.178989,Napoles
314,314 NUERVA YORK-LOUISIANA,19.391647,-99.177331,Napoles
315,315 ALABAMA-MONTANA,19.391472,-99.1736,Napoles
327,E327 GEORGIA -PENNSYLVANIA,19.38885,-99.17772,Napoles
284,284 DAKOTA-VERMONT,19.397693,-99.172981,Napoles
289,289 CHICAGO-YOSEMITE,19.397308,-99.174548,Napoles
290,290 YOSEMITE-COLORADO,19.396333,-99.172667,Napoles
303,303 MONTESITO-AV. INSURGENTES,19.394842,-99.173025,Napoles
304,304 MONTESITO-DAKOTA,19.395043,-99.173821,Napoles
305,305 AVENIDA DEL PARQUE-ARIZONA,19.394693,-99.175531,Napoles
306,306 DAKOTA-FILADELFIA,19.393699,-99.175664,Napoles
307,307 MINESOTA-DAKOTA,19.393701,-99.175834,Napoles
308,308 NUEVA YORK-ARIZONA,19.393594,-99.178072,Napoles
309,309 PENNSYLVANIA-ARIZONA,19.393162,-99.17956,Napoles
295,295 ANAXÁGORAS-EJE 4 SUR XOLA,19.396328,-99.156871,Narvarte Poniente
296,E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,19.394283,-99.158756,Narvarte Poniente
297,297 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,19.394412,-99.158907,Narvarte Poniente
320,320 ENRIQUE RÉBSAMEN-LUZ SAVIÑON,19.391323,-99.15936,Narvarte Poniente
321,321 TORRES ADALID-ANAXÁGORAS,19.389477,-99.157513,Narvarte Poniente
322,322 HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI,19.388528,-99.160616,Narvarte Poniente
280,280 ANAXÁGORAS-OBRERO MUNDIAL,19.4015,-99.156406,Narvarte Poniente
281,281 PITÁGORAS-LA MORENA,19.398532,-99.157308,Narvarte Poniente
339,339 ENRIQUE RÉBSAMEN-AVENIDA EUGENIA,19.386032,-99.160548,Narvarte Poniente
