Total_Rides,Start_Station,End_Station,Start_Station_Name,Start_Station_Lat,Start_Station_Lon,Start_Colonia,End_Station_Name,End_Station_Lat,End_Station_Lon,End_Colonia
175,210,209,210 EUGENIO SUE-HORACIO ,19.434076,-99.194091,Polanco,209 SOLON-HORACIO ,19.435478,-99.20635899999999,Polanco
174,60,36,60 MAZATLAN-FERNANDO MONTES DE OCA,19.414191,-99.177123,Condesa,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte
173,85,85,85 ROSAS MORENO-SULLIVAN,19.43425,-99.162508,San Rafael,85 ROSAS MORENO-SULLIVAN,19.43425,-99.162508,San Rafael
173,36,57,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,57 CUERNAVACA-JUAN ESCUTIA,19.414903,-99.17495,Condesa
172,18,18,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc
172,86,15,86 SULLIVAN-INSURGENTES,19.432378,-99.159077,San Rafael,15 REFORMA-RIO MISSISSIPPI,19.425476999999997,-99.17156700000001,Cuauhtemoc
171,71,84,71 AMSTERDAM-MICHOACAN,19.411423000000003,-99.171351,Hipodromo,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo
171,1,4,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,4 RIO NILO-RIO PANUCO,19.428309,-99.171713,Cuauhtemoc
169,217,212,217 EULER-AV. HORACIO ,19.432888000000002,-99.183605,Polanco,212 HEGEL-HORACIO ,19.433567,-99.188096,Polanco
169,141,158,141 ZACATECAS-LUIS CABRERA,19.415905,-99.15954,Roma Norte,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,19.407447,-99.15571700000001,Roma Sur
169,174,111,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael,111 GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN,19.438236899999996,-99.16594649999999,San Rafael
167,36,60,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,60 MAZATLAN-FERNANDO MONTES DE OCA,19.414191,-99.177123,Condesa
166,21,24,21 REFORMA-DUBLIN,19.42472,-99.17206,Juarez,24 REFORMA-VARSOVIA,19.426470000000002,-99.16821999999999,Juarez
166,86,16,86 SULLIVAN-INSURGENTES,19.432378,-99.159077,San Rafael,16 REFORMA-RÍO TIBER,19.427226,-99.168242,Cuauhtemoc
165,4,1,4 RIO NILO-RIO PANUCO,19.428309,-99.171713,Cuauhtemoc,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
165,54,54,54 PARQUE ESPAÑA-SONORA,19.416215,-99.170825,Condesa,54 PARQUE ESPAÑA-SONORA,19.416215,-99.170825,Condesa
165,111,174,111 GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN,19.438236899999996,-99.16594649999999,San Rafael,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael
163,36,63,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,63 NUEVO LEON- LAREDO,19.413681,-99.171531,Condesa
163,36,64,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo
163,136,135,136 ÁLVARO OBREGÓN-TONALÁ,19.417715,-99.162729,Roma Norte,135 ÁLVARO OBREGÓN-MORELIA,19.419225,-99.15509899999999,Roma Norte
162,20,17,20 REFORMA-RIO TAMESIS,19.430964000000003,-99.160206,Cuauhtemoc,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc
162,209,208,209 SOLON-HORACIO ,19.435478,-99.20635899999999,Polanco,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco
161,158,155,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,19.407447,-99.15571700000001,Roma Sur,E155 JALAPA-TLAXCALA,19.408217999999998,-99.159911,Roma Sur
160,49,49,49 MAZATLAN-JUAN DE LA BARRERA,19.416712,-99.17570400000001,Condesa,49 MAZATLAN-JUAN DE LA BARRERA,19.416712,-99.17570400000001,Condesa
160,14,27,14 REFORMA-RIO DE PLATA,19.424768,-99.173261,Cuauhtemoc,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
160,86,17,86 SULLIVAN-INSURGENTES,19.432378,-99.159077,San Rafael,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc
